Nomenclatura*Tipo (Detrítica/Clástica, Quimiogênica, Biogênica, Orgânica)*Também conhecido por:*Sedimentos originários *Como essa rocha se forma?*Texturas e microestruturas*Minerais essenciais *Minerais acessórios *Onde essa rocha está no cotidiano?*Curiosidades*Doação	*Museu de Minerais, Minérios e Rochas Heinz Ebert*USP Geociências - Seção de Materiais Didáticos*Wikipedia*Outro@Arenito Eólico*Detrítica*Arenito*Qualquer tipo de areia*O arenito é uma rocha sedimentar clástica, ou seja, formada por fragmentos de outras rochas. O arenito eólico especificamente é resultado da deposição de areias carregadas pelo vento que, após compactação e cimentação, se transformam em rochas sedimentares. Essas rochas geralmente apresentam seleção bem definida, ou seja, com uniformidade ou homogeneidade dos tamanhos dos grãos ou fragmentos que compõem a rocha. É muito comum serem compostos de sílica.*Rocha cujas partículas apresentam tamanho de areia muito fina a areia muito grossa com cimento subordinado. As características texturais do arenito dependem de quatro fatores principais: o tamanho das partículas clásticas; o grau de arredondamento das partículas; a disposição das partículas; e a natureza e quantidade de cimento. *
Quartzo (65%); subordinadamente ocorre feldspato potássico (microclínio e ortoclásio) ou plagioclásio sódico. A fração argila consiste geralmente em sericita, illita, caulinita e clorita.*Apatita, augita, biotita, clorita, epidoto, zoisita, granada, hornblenda, ilmenita, leucoxênio, limonita, magnetita, monazita, rutilo, titanita, turmalina e zircão.*Aplicação ornamental: revestimento de pisos e paredes.
Fonte de areia e cascalho.*Os arenitos são muito porosos e quando em profundidades são bons armazenadores de água e petróleo. O arenito eólico é formado pela ação dos ventos, e recebe esse nome por inspiração na mitologia grega: Éolos, ou Aiolos, era conhecido como deus ou guardião dos vento*Frank Heinrich (UFRGS)*https://museuhe.com.br/rocha/arenitos/*https://didatico.igc.usp.br/rochas/sedimentares/arenito/*https://en.wikipedia.org/wiki/Sandstone*https://pt.geologyscience.com/rocks/sandstone/?amp@Arenito Fluvial*Detrítica*Arenito*Qualquer tipo de areia*O arenito é uma rocha sedimentar clástica, ou seja, formada por fragmentos de outras rochas. O arenito fluvial especificamente resulta da deposição de areias em rios ou córregos. Os grãos de areia geralmente são arredondados ou subarredondados, e o sedimento também pode conter silte e argila. *Rocha cujas partículas apresentam tamanho de areia muito fina a areia muito grossa com cimento subordinado. As características texturais do arenito dependem de quatro fatores principais: o tamanho das partículas clásticas; o grau de arredondamento das partículas; a disposição das partículas; e a natureza e quantidade de cimento. *
Quartzo (65%); subordinadamente ocorre feldspato potássico (microclínio e ortoclásio) ou plagioclásio sódico. A fração argila consiste geralmente em sericita, illita, caulinita e clorita.*Apatita, augita, biotita, clorita, epidoto, zoisita, granada, hornblenda, ilmenita, leucoxênio, limonita, magnetita, monazita, rutilo, titanita, turmalina e zircão.*Aplicação ornamental: revestimento de pisos e paredes.
Fonte de areia e cascalho.*"Os arenitos são muito porosos e quando em profundidades são bons armazenadores de água e petróleo. O termo ""fluvial"" deriva do termo ""flumem"" (do latim, “o rio”)"*Frank Heinrich (UFRGS)*https://museuhe.com.br/rocha/arenitos/*https://didatico.igc.usp.br/rochas/sedimentares/arenito/*https://en.wikipedia.org/wiki/Sandstone*https://pt.geologyscience.com/rocks/sandstone/?amp@Conglomerado*Detrítica*Sopa de Rocha*Cascalhos e na matriz areia, silte e argila*Conglomerado é uma rocha formada por fragmentos de rochas arredondados de tamanho superior a 2 mm, chamados de detritos rolados, que foram transportados e depositados por água ou vento. Esses detritos se acumulam e podem ser cimentados por uma variedade de minerais, incluindo carbonatos de cálcio, sílica, óxidos de ferro, argila endurecida, entre outros.*Suas características são sempre muito parecidas com Granulação muito grossa; grande número de classes texturais nas frações grossas; caráter polimodal dos seixos; deficiência de materiais da classe dos grânulos (de 2 a 4 mm); caráter geralmente unimodal dos arenitos intercalados; distribuição log-normal das frequências granulométricas das areias; correlação entre o material conglomerático e a espessura das camadas.*Os clastos dos conglomerados são de litologia variada, podendo aparecer seixos e calhaus de rochas plutônicas, eruptivas, sedimentares e metamórficas.*Minerais opacos, zircões e hercynita.*Construção civil: pedra dimensional; 
Aplicação ornamental: decoração de paredes e pisos. *"Exemplares de conglomerado já foram encontrados em Marte pelo rover Curiosity em um afloramento denominado ""Hottah""."*Frank Heinrich (UFRGS)*https://museuhe.com.br/rocha/conglomerado/*https://didatico.igc.usp.br/rochas/sedimentares/conglomerado/*https://en.wikipedia.org/wiki/Conglomerate_(geology)*https://rockidentifier.com/pt/ask/Conglomerate-7.html@Brecha*Detrítica*-*Cascalhos e na matriz areia, silte e argila*As brechas são formadas por detritos angulosos de tamanho superior a 2 mm que ainda não foram arredondados pelo transporte, e que foram cimentados por uma matriz de minerais de composição variada. Sua formação ocorre com a cimentação dos detritos pela matriz quando estão acumulados em grande quantidade no mesmo local.*Segundo Suguio (1980), as características granulométricas são sempre muito parecidas: granulação muito grossa; grande números de classes texturais nas frações grossas; caráter polimodal dos seixos; deficiência de materiais da classe dos grânulos (de 2 a 4 mm); caráter em geral unimodal dos arenitos intercalados; distribuição log-normal das frequências granulométricas das areias; correlação do material conglomerático e espessura das camadas.*Os clastos dos conglomerados são de litologia variada, podendo aparecer seixos e calhaus de rochas plutônicas, eruptivas, sedimentares e metamórficas.*Minerais opacos, zircões e hercynita.*Aplicação ornamental: produção de esculturas e materiais arquitetônicos;
Agricultura: fertilizante repositor de potássio na cultura de soja. *A Brecha foi usada para construir as colunas do palácio Knossos em Creta, por volta de 1800 a.C.*Alfredo Costa (IFRS)*https://museuhe.com.br/rocha/brecha-intraformacional/*https://didatico.igc.usp.br/rochas/sedimentares/conglomerado/*https://en.wikipedia.org/wiki/Conglomerate_(geology)*https://ainfo.cnptia.embrapa.br/digital/bitstream/item/26042/1/1270.pdf@Folhelho*Detrítica*-*Silte e argila*O folhelho é composto por sedimentos finos como argilas e siltes. Se formam em finas camadas ao se depositarem em quantidade suficiente no fundo de corpos hídricos de pouco movimento como lagos, onde são então compactados pelo próprio peso.*As laminações dos folhelhos variam de 0,05 mm a 1 mm e podem apresentar diferentes tipos de alternâncias entre as lâminas, como partículas mais finas e mais grossas, ou materiais mais claros alternados com materiais mais escuros, com a possibilidade de combinação de fatores.*Segundo Suguio (1980), a composição dos folhelhos pode variar de acordo com a rocha a que estes estão associados, assim como a coloração, do vermelho amarronzado ao preto.*carbonatos, pirita, apatita, gesso.*Industria cerâmicas: produção de cerâmicas brancas ou vermelhas, a cerâmica vermelha produz tijolos, telhas, pisos, ladrilhos e a cerâmica branca produz porcelana sanitárias, azulejos e porcelanato em geral;
Construção civil: componentes do cimento.*Folhelho é uma rocha comumente encontrada durante a perfuração de poços de óleo e gás.*Frank Heinrich (UFRGS)*https://museuhe.com.br/rocha/folhelho/*https://didatico.igc.usp.br/rochas/sedimentares/folhelho/*https://en.wikipedia.org/wiki/Shale*-@Siltito*Detrítica*-*Silte*O siltito é uma rocha formada por pelo menos 50% de silte (sedimentos com 50 a 2 micrômetros), depositados em grandes quantidades geralmente em ambientes marinhos e compactados pelo próprio peso ao longo do tempo.*Textura compacta a
pulverulenta*O siltito é formado pelo acúmulo de sedimentos de granulometria silte, variando de 0,002 a 0,06 mm, sendo composto principalmente por quartzo, feldspatos, micas e argilas.*apatita, biotita, clorita, epidoto, granada, hornblenda, limonita, rutilo, turmalina, zircão*Industria cerâmicas: produção de cerâmicas brancas ou vermelhas. A cerâmica vermelha produz tijolos, telhas, pisos, ladrilhos e a cerâmica branca produz porcelana sanitárias, azulejos e porcelanato em geral;
Construção civil: componentes do cimento.*Siltstone era valorizado no antigo Egito pela fabricação de estátuas e paletas cosméticas.*Frank Heinrich (UFRGS)*https://museuhe.com.br/rocha/siltito/*https://didatico.igc.usp.br/rochas/sedimentares/siltito/*https://en.wikipedia.org/wiki/Siltstone*-@Carvão mineral*Orgânica*Carvão*Matéria orgânica*Todo o carvão mineral existente no mundo foi formado entre 359 milhões e 299 milhões de anos, no período carbonífero. Nesse período, não havia organismos capazes de digerir o material lenhoso das árvores, o qual era soterrado por grandes massas de sedimentos e ficava exposto a altas temperaturas. A pressão da sobreposição de camadas de sedimentos, combinada com o calor gerado pelo próprio interior da Terra, causaram a compactação e a decomposição do material orgânico. Essas condições favoreceram a liberação de gases e líquidos voláteis do material orgânico, deixando para trás um resíduo rico em carbono conhecido como lignito, o qual foi gradualmente transformado em carvão mineral. *fragmentos de origem organica de diferentes tamanhos (bioclastos)*Um carvão com teor de carbono entre 75-90% livre de cinzas secas e entre 14-46% de voláteis.
*Os minerais acessórios do carvão podem variar dependendo da origem e composição do próprio carvão. No entanto, alguns dos minerais acessórios comuns encontrados no carvão incluem pirita, calcita, quartzo, siderita, argila, anidrita e outros minerais de silicato. *Industria de geração energetica: historicamente utilizado para gerar energia;
Processos industriais: tem ampla utilização na combustão em processos industriais, tais como siderurgia, secagem de produtos, cerâmicas e fabricação de vidros.*Todo carvão mineral existente no mundo se formou na era paleozoica, período carbonífero, quando o planeta estava repleto de árvores e não haviam micro organismos capazes de digerir madeira. *Frank Heinrich (UFRGS)*-*https://didatico.igc.usp.br/rochas/sedimentares/carvao/*https://en.wikipedia.org/wiki/Coal*-@Calcário*Quimiogênica*-*Sedimentos compostos de carbonato de cálcio*O calcário se forma quando cálcio dissolvido em água se deposita, o que pode ocorrer por processos químicos ou biológicos. Esse processo é controlado pela presença de dióxido de carbono na água e a sua salinidade.*Variam de acordo com a sua formação.*Carbonato de cálcio (Geralmente calcita ou dolomita) (>50%). Pode ocorrer quartzo, calcedônia, minerais de argila e glauconita.*Ilmenita, leucoxeno, magnetita, zircão, turmalina.*Construção civil: matéria-prima da indústria cimenteira e utilizado para a confecção de britas utilizadas para concreto, pavimentação, calçamento, gabiões, entre outros. Utilizado para calçada Portuguesa;
Industria vidreira: Fonte de cal (CaO) para vidros diversos, em especial os de soda e cal. É um componente estabilizante e promove aumento da resistência mecânica das peças;
Aplicação ornamental: produção de esculturas.*A maioria dos grãos do calcário são fragmentos de esqueletos de organismos marinhos, como corais ou foraminíferos.*Alfredo Costa (IFRS)*https://museuhe.com.br/rocha/calcarios/*https://didatico.igc.usp.br/rochas/sedimentares/calcario/*https://en.wikipedia.org/wiki/Limestone*-@Evaporito variação rosa do deserto*Quimiogênica*Rosa do deserto, Rosa das Areias, Flor de Areia*Sedimentos solúveis em água*A rosa do deserto se forma quando água subterrânea rica em sais dissolvidos de desertos evapora através da luz solar. Com a evaporação dessa água, os sais em excesso se depositam e se unem entre si.*Geralmente granular de grão grosseiro ou fino.*halita (sal de cozinha), gipsita (gesso)*barita, calcita e quartzo. *Usos espirituais e religiosos;
Aplicação ornamental: decoração e artes.*É comum serem desenterradas pela ação da urina de dromedários. Por esse motivo, antigamente acreditava-se que a rosa das areias era formada quando os camelos urinavam nas areias.*Alfredo Costa (IFRS)*-*https://didatico.igc.usp.br/rochas/sedimentares/evaporito/*https://en.wikipedia.org/wiki/Evaporite*https://www.infopedia.pt/artigos/$evaporito@Fosforita*Quimiogênica*-*Sedimentos com alto teor de fósforo*A fosforita se forma pela acumulação de sedimentos com alto teor de fósforo geralmente em regiões marinhas de baixa energia, como litorais. *Muitas fosforitas apresentam textura oolítica a pisolítica, com oolitos com núcleos clásticos de fósseis. A matriz dosoolitos é variada, geralmente de colofana ou francolita.*Formado principalmente por fosfatos, geralmente por variedades de apatita: carbonato-flúor-apatita (francolita), carbonato-hidroxi-apatita (dahlita). Pode ocorrer francolita, calcita, pirita, anidrita e glauconita.*Fosfatos de ferro e alumínio, sulfatos, nitratos e oxalatos de cálcio e amônia.*Agricultura: muito utilizado na produção de fertilizantes, adubos e suplementos de ração animal;
Industria química: produção de fosforo;*O fosfato natural é comercializado e aceito como uma alternativa orgânica ao fertilizante fosfatado químico e por vezes é considerado mais sustentavel. *Frank Heinrich (UFRGS)*https://museuhe.com.br/rocha/fosforitas/*-*https://en.wikipedia.org/wiki/Phosphorite*https://www.ufrgs.br/minmicro/Fosforitas.pdf
https://portaldamineracao.com.br/fosforita-importante-mineral-e-descoberto-na-costa-sul-brasileira/#:~:text=A%20fosforita%20%C3%A9%20chamada%20assim,e%20suplementos%20de%20ra%C3%A7%C3%A3o%20animal.@**** **********@